i,j,D_l
10,32,0.013678770281644683
10,33,0.003619951189823952
10,34,0.0020100624388482706
10,35,0.0013427636889007106
10,36,0.03324916694754695
10,37,0.04035027249209144
10,38,0.00973418496641775
10,39,0.0021918138525767934
10,40,0.024603405020693355
10,41,0.008768313839460695
10,42,0.009689580330928474
10,43,0.01799791080867747
10,44,0.04224344152145617
10,45,0.01185625719679802
10,46,0.035074673605200876
10,47,0.02766423657242097
10,48,0.0015772755965742348
10,49,0.015673672696978096
10,50,0.025612495003581284
10,51,0.028373544248146667
10,52,0.013744304607556193
10,53,0.021557993642783924
10,54,0.0031371892239476524
10,55,0.014205538060538387
10,56,0.011876553718849134
10,57,0.0019996651968075285
10,58,0.00655029531609442
10,59,0.022898289234754687
10,60,0.014010879596536109
10,61,0.031487438378208714
10,62,0.017931788550877424
10,63,0.0012122464905511478
10,64,0.024018064360723367
10,65,0.004223142265349917
10,66,0.0008083848705945711
10,67,0.026418265221206667
